image_id,captions,,,,
Beauty_0.jpg,"A studio portrait of a young woman with smooth fair skin, long dark brown hair parted in the middle, and striking green eyes. She wears bold red lipstick, dramatic contouring, and long dangling earrings with stylized text. Her expression is neutral and poised, and she appears against a plain light gray background with a fashion editorial aesthetic.",,,,
Beauty_1.jpg,"A fashion portrait of a young woman with medium skin tone and short slicked-back hair. She wears bold red lipstick, pink eye makeup, and large hoop earrings. Her outfit is a structured pink-and-white striped blazer with exaggerated shoulders, giving a high-fashion editorial look against a neutral gray background.",,,,
Beauty_2.jpg,"A stylized magazine cover-like image featuring a woman with tan skin tone wearing a wide white hat and white outfit. She has glossy red lips, sharp facial contours, and neutral expression. The background contains colorful graphic elements and abstract text, resembling a modern fashion magazine layout.",,,,
Beauty_3.jpg,A high-fashion portrait of a fair-skinned woman with short blonde bob hair and green eyes. She wears bright red lipstick and a black-and-white patterned high-neck outfit. The image resembles a magazine cover with bold typography elements and a minimal background.,,,,
Beauty_4.jpg,"A fashion editorial image of a blonde woman with wavy shoulder-length hair and blue-green eyes. She wears bold red lipstick and a sleeveless teal outfit. A black handbag is visible on her shoulder, and the background includes blurred magazine-style typography and layout elements.",,,,
Beauty_5.jpg,"A close-up portrait of a woman with light skin tone and platinum blonde wavy hair. She has bright green eyes, strong cheekbone contouring, and glossy red lipstick. Her pose includes one hand gently touching her neck, set against a soft blue gradient background.",,,,
Beauty_6.jpg,"A fashion magazine-style portrait of a woman with straight black hair, fair skin, and green eyes. She wears bold red lipstick and long earrings. The background includes large stylized text resembling a magazine title and layout, enhancing the editorial feel.",,,,
Beauty_7.jpg,"A close-up fashion portrait of a woman with light skin and brown hair tied back. She has striking blue eyes, bold red lipstick, and prominent cheekbone contouring. Large stylized typography overlays the image, resembling a modern editorial cover.",,,,
Beauty_8.jpg,A fashion editorial image of a woman with medium skin tone and voluminous reddish-brown hair. She wears a bright yellow outfit and statement earrings. The background includes large typography and layout elements resembling a magazine cover.,,,,
Beauty_9.jpg,"A stylized magazine layout featuring a dark-skinned woman wearing a pink dress and large hoop earrings. She has glossy red lips and a confident pose. The background includes magazine columns, images, and text blocks, giving a digital editorial page aesthetic.",,,,
Beauty_10.jpg,A fashion portrait of a woman with medium skin tone and short wavy brown hair. She wears a white dress and large dangling earrings. The background is pink with bold typography elements arranged in a graphic design style.,,,,
Beauty_11.jpg,"A close-up portrait of a woman with fair skin, dark hair pulled back, and blue eyes. She wears red lipstick and subtle makeup. She holds a black object near her neck, and the background has a soft purple gradient.",,,,
Beauty_12.jpg,A symmetrical fashion portrait of a woman with fair skin and short styled hair. She wears red lipstick and a high-neck white outfit with structured design. The background includes minimal text elements resembling a magazine layout.,,,,
Beauty_13.jpg,A fashion portrait of a woman with voluminous curly red hair and medium skin tone. She wears bold red lipstick and a patterned blazer. The image has a clean background with large editorial text above her head.,,,,
Beauty_14.jpg,"A close-up fashion portrait of a woman with fair skin and sleek straight hair. She has blue eyes, glossy red lipstick, and wears minimal jewelry. The background includes bold graphic text and colorful blocks resembling a magazine design.",,,,
Beauty_15.jpg,"A magazine-style portrait of a woman with long dark hair and medium skin tone. She wears a white off-shoulder outfit and bold red lipstick. Her pose is expressive with one hand touching her head, and the background includes text and layout elements.",,,,
Beauty_16.jpg,"A fashion portrait of a woman with red hair styled in waves and medium skin tone. She wears a blue outfit with structured shoulders and statement earrings. Her hair appears wind-blown, adding motion to the image, set against a soft gradient background.",,,,
Beauty_17.jpg,"A fashion portrait of a woman with light brown wavy hair and fair skin. She wears a striped blazer over a white shirt. The image has a minimal background with subtle editorial text elements, resembling a magazine shoot.",,,,
Beauty_18.jpg,A stylized portrait of a woman with fair skin wearing a geometric white hat and large dangling earrings. She has bold red lipstick and a neutral expression. The background includes bold red typography resembling a magazine headline.,,,,
Beauty_19.jpg,"A fashion editorial portrait of a woman with fair skin and sleek dark hair. She wears bold red lipstick and large hoop earrings. The background features bright red and purple graphic elements with abstract typography, giving a modern magazine cover look.",,,,
Beauty_20.jpg,"A fashion model with short hair and bold makeup, wearing statement earrings and posing against a clean background with editorial lighting.",,,,
Beauty_21.jpg,"A woman with sleek pulled-back hair, bold red lips, and dramatic eye makeup, posed in front of a magazine-style typographic layout.",,,,
Beauty_22.jpg,"A stylized close-up of a woman with glossy skin, hoop earrings, and intense makeup, set against a high-contrast background.",,,,
Beauty_23.jpg,"A fashion portrait featuring a woman with sculpted cheekbones, wearing a modern outfit and posed against a minimal backdrop.",,,,
Beauty_24.jpg,"A stylized editorial image of a woman with bold red lipstick, clean hairstyle, and minimalistic background emphasizing facial features.",,,,
Beauty_25.jpg,"A model with voluminous hair and dramatic makeup, wearing statement accessories and posed in a studio lighting setup.",,,,
Beauty_26.jpg,"A fashion portrait of a woman with sleek hair and bold earrings, highlighted by sharp lighting and smooth skin texture.",,,,
Beauty_27.jpg,"A stylized image of a woman with strong contouring, glossy lips, and a high-fashion pose against a graphic background.",,,,
Beauty_28.jpg,"A portrait of a woman with bold makeup and short hairstyle, wearing large earrings and posed confidently.",,,,
Beauty_29.jpg,"A woman in a modern outfit with clean lines and strong makeup, photographed in a studio with neutral background.",,,,
Beauty_30.jpg,"A stylized editorial portrait with exaggerated facial features, glossy lips, and vibrant color palette.",,,,
Beauty_31.jpg,"A fashion model with minimal outfit and bold accessories, posed against a typographic background.",,,,
Beauty_32.jpg,"A woman with sleek hairstyle and strong makeup, presented in a magazine-style composition.",,,,
Beauty_33.jpg,"A stylized close-up portrait emphasizing facial symmetry, makeup, and accessories.",,,,
Beauty_34.jpg,"A fashion portrait with bold lighting, strong contrast, and editorial styling.",,,,
Beauty_35.jpg,A woman posed in a studio setting with dramatic makeup and high-fashion aesthetic.,,,,
Beauty_36.jpg,"A stylized image of a model with bold red lips, sculpted features, and clean background.",,,,
Beauty_37.jpg,"A fashion editorial portrait with modern styling, bold accessories, and strong lighting.",,,,
Beauty_38.jpg,"A stylized portrait emphasizing beauty standards with smooth skin, symmetry, and makeup.",,,,
Beauty_39.jpg,"A fashion image of a woman with short hair, bold lips, and a clean editorial background.",,,,
Beauty_40.jpg,"A vibrant editorial portrait of a woman with voluminous black hair, bright pink lipstick, and bold eye makeup, wearing a white and blue outfit, set against a vivid pink magazine-style background.",,,,
Beauty_41.jpg,"A stylized fashion portrait of a woman with short two-tone hair, bold red lipstick, and a patterned outfit, surrounded by graphic magazine text and high-contrast composition.",,,,
Beauty_42.jpg,"A high-fashion portrait of a blonde woman with short wavy hair, wearing a metallic teal outfit, with intense eye makeup and a clean minimalist background.",,,,
Beauty_43.jpg,"A modern editorial portrait of a woman with dark hair and bold red lipstick, wearing a patterned dress with colorful geometric prints, against a pink magazine-style background.",,,,
Beauty_44.jpg,"A close-up fashion shot of a woman with short blonde hair and green eyes, wearing a white sleeveless outfit, bold red lipstick, and minimal background with teal tones.",,,,
Beauty_45.jpg,"A glossy editorial portrait of a woman with wavy dark hair, striking makeup, and red lipstick, wearing a light blue outfit, set against a bright pink magazine cover background.",,,,
Beauty_46.jpg,"A high-fashion portrait of a woman in a red dress with dramatic makeup and short wavy hair, posed elegantly against a blue and white editorial layout background.",,,,
Beauty_47.jpg,"A stylized portrait of a woman with short black hair, bold red lipstick, and a futuristic metallic collar, set against a pink gradient background with editorial elements.",,,,
Beauty_48.jpg,"A close-up editorial portrait of a woman with sharp facial features, bold red lips, and intense eye makeup, wearing statement earrings and a high-neck metallic accessory.",,,,
Beauty_49.jpg,"A fashion magazine-style portrait of a woman with dark hair, strong contouring, and red lipstick, wearing a teal outfit with a structured collar and minimal background.",,,,
Beauty_50.jpg,"A portrait of a woman with blonde hair and strong makeup, wearing a bright yellow jacket over a white top, set against a neutral background with editorial text.",,,,
Beauty_51.jpg,"A fashion editorial shot of a woman with short black hair, green eyes, and bold pink lipstick, wearing a shiny green jacket and large red earrings.",,,,
